LogFilename: 2020-03-08-17:14:08_monitoringLog
JSonLogFilename: 2020-03-08-17:14:08_monitoringLog
vector_extension	format	bitwidth	countValues	repetition	runtime:µs	runtime compr [µs]	size used [byte]	size compr [byte]	runtime decompr [µs]	runtime agg [µs]	check
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	21	134217728	1	739803	240152	352583680	352583680	446140	39450	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	21	134217728	1	718259	218709	352321536	352321536	446234	39246	1
scalar<v64<uint64_t>>	uncompr_f	22	134217728	1	103806	0	1073741824	0	0	103703	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	22	134217728	1	740394	246503	369360896	369360896	444340	34809	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	22	134217728	1	716072	230184	369098752	369098752	436889	34328	1
scalar<v64<uint64_t>>	uncompr_f	23	134217728	1	104560	0	1073741824	0	0	104450	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	23	134217728	1	765575	265552	386138112	386138112	441090	43529	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	23	134217728	1	746302	234350	385875968	385875968	454410	42192	1
scalar<v64<uint64_t>>	uncompr_f	24	134217728	1	113481	0	1073741824	0	0	113368	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	24	134217728	1	768691	258808	402915328	402915328	452576	41250	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	24	134217728	1	741412	236993	402653184	402653184	434511	36649	1
scalar<v64<uint64_t>>	uncompr_f	25	134217728	1	104159	0	1073741824	0	0	104041	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	25	134217728	1	782071	266650	419692544	419692544	452108	46563	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	25	134217728	1	753802	243768	419430400	419430400	446361	46960	1
scalar<v64<uint64_t>>	uncompr_f	26	134217728	1	104065	0	1073741824	0	0	103943	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	26	134217728	1	783652	284827	436469760	436469760	441575	39821	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	26	134217728	1	764659	250040	436207616	436207616	456774	40527	1
scalar<v64<uint64_t>>	uncompr_f	27	134217728	1	104178	0	1073741824	0	0	104053	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	27	134217728	1	798209	279405	453246976	453246976	450619	50131	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	27	134217728	1	777519	262459	452984832	452984832	447181	49865	1
scalar<v64<uint64_t>>	uncompr_f	28	134217728	1	104163	0	1073741824	0	0	104033	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	28	134217728	1	807130	284592	470024192	470024192	454233	49530	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	28	134217728	1	764559	263212	469762048	469762048	440336	42316	1
scalar<v64<uint64_t>>	uncompr_f	29	134217728	1	104280	0	1073741824	0	0	104145	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	29	134217728	1	819579	292448	486801408	486801408	454218	53511	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	29	134217728	1	808162	271639	486539264	486539264	464360	52769	1
scalar<v64<uint64_t>>	uncompr_f	30	134217728	1	104124	0	1073741824	0	0	103983	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	30	134217728	1	813542	298825	503578624	503578624	448572	46092	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	30	134217728	1	798158	275232	503316480	503316480	455118	47743	1
scalar<v64<uint64_t>>	uncompr_f	31	134217728	1	104099	0	1073741824	0	0	103955	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	31	134217728	1	834038	305579	520355840	520355840	450355	57347	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	31	134217728	1	819856	292485	520093696	520093696	449496	57118	1
