LogFilename: 2020-03-08-19:41:10_monitoringLog
JSonLogFilename: 2020-03-08-19:41:10_monitoringLog
vector_extension	format	bitwidth	countValuesSmall	countValuesLarge	repetition	runtime:µs	runtime compr [µs]	runtime decompr [µs]	check
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	32	1024	134217728	1	290579	224561	44024	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	33	1024	134217728	1	322906	244200	55701	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	33	1024	134217728	1	304243	232748	48824	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	34	1024	134217728	1	331394	250322	57471	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	34	1024	134217728	1	311815	239294	49223	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	35	1024	134217728	1	341027	258326	58456	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	35	1024	134217728	1	323250	247635	51638	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	36	1024	134217728	1	346186	264146	57160	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	36	1024	134217728	1	328333	252810	50921	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	37	1024	134217728	1	360070	273348	61160	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	37	1024	134217728	1	342821	262976	54494	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	38	1024	134217728	1	367785	277718	63929	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	38	1024	134217728	1	347343	266158	55294	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	39	1024	134217728	1	381620	284781	70093	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	39	1024	134217728	1	358043	274020	57404	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	40	1024	134217728	1	381392	291277	62649	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	40	1024	134217728	1	363018	279317	56466	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	41	1024	134217728	1	398321	303129	67151	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	41	1024	134217728	1	375463	287232	60366	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	42	1024	134217728	1	410357	311553	70103	1
