LogFilename: 2020-06-01-21:42:38_monitoringLog
JSonLogFilename: 2020-06-01-21:42:38_monitoringLog
[MEA]
colName	formatWithBw	formatWithoutBw	valueCount	valueCountCompr	sizeUsedByte	sizeComprByte
X_232_2	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	11574716	11574272	34757344	34745472
X_232_2	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	11574716	11574272	93337760	93317568
X_232_2	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	11574716	11574272	35556704	35536384
X_260	uncompr_f	uncompr_f	100	0	800	0
X_260	static_vbp_f<vbp_l<4, 8> >	static_vbp_f<vbp_l<bw, 8> >	100	0	1312	0
X_260	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	100	0	9120	0
X_260	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	100	0	17440	0
X_260	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	100	0	17568	0
X_238	uncompr_f	uncompr_f	2311643	0	18493144	0
X_238	static_vbp_f<vbp_l<4, 8> >	static_vbp_f<vbp_l<bw, 8> >	2311643	2311168	1159896	1155584
X_238	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	2311643	2311168	1172248	1160128
X_238	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2311643	2311168	18654232	18633792
X_238	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2311643	2311168	1338712	1318144
part.p_mfgr	uncompr_f	uncompr_f	1400000	0	11200000	0
part.p_mfgr	static_vbp_f<vbp_l<3, 8> >	static_vbp_f<vbp_l<bw, 8> >	1400000	1399808	526848	524928
part.p_mfgr	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	1400000	1399808	537536	527680
part.p_mfgr	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	1400000	1399808	11304128	11285952
part.p_mfgr	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	1400000	1399808	641664	623360
X_246	uncompr_f	uncompr_f	2311643	0	18493144	0
X_246	static_vbp_f<vbp_l<24, 8> >	static_vbp_f<vbp_l<bw, 8> >	2311643	2311168	6940376	6933504
X_246	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	2311643	2311168	6950104	6937984
X_246	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2311643	2311168	18654232	18633792
X_246	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2311643	2311168	7116568	7096000
X_141_0	uncompr_f	uncompr_f	144419127	0	1155353016	0
X_141_0	static_vbp_f<vbp_l<18, 8> >	static_vbp_f<vbp_l<bw, 8> >	144419127	144418816	324947128	324942336
X_141_0	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	144419127	144418816	325235256	325224448
X_141_0	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	1164395832	1164376704
X_141_0	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	335116088	335096832
X_233_2	uncompr_f	uncompr_f	11574716	0	92597728	0
X_233_2	static_vbp_f<vbp_l<17, 8> >	static_vbp_f<vbp_l<bw, 8> >	11574716	11574272	24601056	24595328
X_233_2	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	11574716	11574272	24629856	24617984
X_233_2	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	11574716	11574272	93337760	93317568
